customer_id,"first","last","email","address","city","state","postal","phone","alt_phone","notes",preferred_staff,discount_type,"referral_source",create_admin,update_admin,"create_ts","update_ts",is_active
1,"James","Button","jbutt@gmail.com","6649 N Blue Gum St","New Orleans","LA","70116","504-621-8927","504-845-1427",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
2,"Josephine","Darakjy","josephine_darakjy@darakjy.org","4 B Blue Ridge Blvd","Brighton","MI","48116","810-292-9388","810-374-9840",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
3,"Art","Venere","art@venere.org","8 W Cerritos Ave Apt 54","Bridgeport","NJ","8014","856-636-8749","856-264-4130",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
4,"Lenna","Paprocki","lpaprocki@hotmail.com","639 Main St","Anchorage","AK","99501","907-385-4412","907-921-2010",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
5,"Donette","Foller","donette.foller@cox.net","34 Center St","Hamilton","OH","45011","513-570-1893","513-549-4561",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
6,"Simona","Morasca","simona@morasca.com","3 Mcauley Dr","Ashland","OH","44805","419-503-2484","419-800-6759",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
7,"Mitsue","Tollner","mitsue_tollner@yahoo.com","7 Eads St","Chicago","IL","60632","773-573-6914","773-924-8565",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
8,"Leota","Dilliard","leota@hotmail.com","7 W Jackson Blvd","San Jose","CA","95111","408-752-3500","408-813-1105",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
9,"Sage","Wieser","sage_wieser@cox.net","5 Boston Ave Apt 88","Sioux Falls","SD","57105","605-414-2147","605-794-4895",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
10,"Kris","Marrier","kris@gmail.com","228 Runamuck Pl Apt 2808","Baltimore","MD","21224","410-655-8723","410-804-4694",NULL,NULL,NULL,NULL,0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",1
